"EventType","Full Waveform"
"SampleRate","2048 sps"
"Channel","Tran"
"Channel","Vert"
"Channel","Long"
"Units","mm/s"
"EventTime","18:03:13"
"EventDate","2021-08-31"
"RecordStopMode","Fixed"
"Pre-triggerLength","0.25 sec"
"RecordTime","3.0 sec"
"AutoStopTime","1 sec"
"Trigger","Vert"
"GeoTriggerLevel","0.270 mm/s"
"GeoRange","254.000 mm/s"
"Operator","Operator"
"Setup","Default Micromate DIN.MMB"
"TitleNote1","Location"
"TitleString1",""
"TitleNote2","Client"
"TitleString2",""
"TitleNote3","Company"
"TitleString3",""
"TitleNote4","General Notes"
"TitleString4",""
"PostEventNote",""
"SerialNumber","UM6972"
"Version","Micromate DIN 10.90"
"FileName","UM6972_20210831180313.IDFW"
"BatteryLevel","3.6 volts"
"Calibration","June 4, 2015 by Instantel"
"USBSensorSupport","Disabled"
"TranPPV","<0.127 mm/s"
"VertPPV","2.365 mm/s"
"LongPPV","0.236 mm/s"
"TranPPVPonderated","0.050 mm/s"
"VertPPVPonderated","1.197 mm/s"
"LongPPVPonderated","0.086 mm/s"
"TranPPVdB","17.9851 dB"
"VertPPVdB","7.4750 dB"
"LongPPVdB","12.5250 dB"
"TranZCFreq",">100 Hz"
"VertZCFreq","48.8 Hz"
"LongZCFreq","51.2 Hz"
"TranTimeofPeak","1.398 sec"
"VertTimeofPeak","0.549 sec"
"LongTimeofPeak","1.298 sec"
"TranPeakAcceleration","0.038 g"
"VertPeakAcceleration","0.388 g"
"LongPeakAcceleration","0.041 g"
"TranPeakDisplacement","0.000 mm"
"VertPeakDisplacement","0.007 mm"
"LongPeakDisplacement","0.000 mm"
"PeakVectorSum","2.369 mm/s"
"PeakVectorSumTimeSum","2.467 sec"
"TranTestResults","Passed"
"VertTestResults","Passed"
"LongTestResults","Passed"
"Tran","Vert","Long"
"0.016","0.008","-0.039"
"0.024","0.008","-0.047"
"0.000","0.008","-0.055"
"0.032","0.008","-0.039"
"0.016","0.008","-0.047"
"0.024","0.008","-0.071"
"0.024","0.008","-0.063"
"0.063","0.008","0.016"
"0.110","0.008","0.126"
"0.071","0.008","0.173"
"0.039","0.008","0.158"
"-0.016","0.008","0.134"
"-0.047","0.008","0.118"
"-0.063","0.008","0.087"
"-0.063","0.008","0.063"
"-0.047","0.008","0.063"
"-0.055","0.008","0.063"
"-0.047","0.008","0.039"
"-0.039","0.008","0.032"
"-0.024","0.008","0.047"
"0.008","0.008","0.055"
"-0.008","0.008","0.039"
"0.000","0.008","0.039"
"0.024","0.008","0.071"
"0.032","0.008","0.095"
"0.000","0.008","0.071"
"0.008","0.008","0.071"
"-0.008","0.008","0.016"
"-0.063","0.008","-0.102"
"-0.079","0.008","-0.158"
"-0.032","0.008","-0.142"
"0.071","0.008","-0.071"
"-0.102","0.008","-0.221"
"-0.047","0.008","-0.173"
"0.047","0.008","-0.071"
"0.063","0.008","-0.071"
"0.039","0.008","-0.063"
"0.039","0.008","-0.047"
"0.016","0.008","-0.055"
"0.032","0.008","-0.055"
"0.047","0.008","-0.047"
"0.016","0.008","-0.047"
"0.016","0.008","-0.055"
"0.024","0.008","-0.047"
"0.024","0.008","-0.063"
"0.000","0.008","-0.055"
"0.016","0.008","-0.087"
"0.032","0.008","-0.063"
"0.063","0.008","0.032"
"0.095","0.008","0.150"
"0.071","0.008","0.166"
"0.016","0.008","0.173"
"-0.008","0.008","0.142"
"-0.032","0.008","0.110"
"-0.063","0.008","0.087"
"-0.063","0.008","0.079"
"-0.047","0.008","0.063"
"-0.055","0.008","0.047"
"-0.055","0.008","0.039"
"-0.039","0.008","0.032"
"-0.024","0.008","0.047"
"-0.016","0.008","0.063"
"-0.008","0.008","0.079"
"0.000","0.008","0.071"
"-0.008","0.008","0.063"
"0.016","0.008","0.071"
"0.000","0.008","0.055"
"-0.008","0.008","0.055"
"-0.024","0.008","0.047"
"-0.071","0.008","-0.087"
"-0.087","0.008","-0.166"
"-0.024","0.008","-0.150"
"0.079","0.008","-0.055"
"-0.071","0.008","-0.229"
"-0.024","0.008","-0.158"
"0.039","0.008","-0.071"
"0.039","0.008","-0.063"
"0.032","0.008","-0.071"
"0.039","0.008","-0.071"
"0.039","0.008","-0.047"
"0.047","0.008","-0.039"
"0.024","0.008","-0.039"
"0.024","0.008","-0.039"
"0.008","0.008","-0.047"
"0.024","0.008","-0.055"
"0.024","0.008","-0.047"
"0.039","0.008","-0.047"
"0.016","0.008","-0.055"
"0.016","0.008","-0.047"
"0.063","0.008","0.047"
"0.110","0.008","0.158"
"0.087","0.008","0.189"
"0.032","0.008","0.158"
"0.000","0.008","0.134"
"-0.039","0.008","0.095"
"-0.047","0.008","0.047"
"-0.063","0.008","0.047"
"-0.047","0.008","0.055"
"-0.071","0.008","0.032"
"-0.055","0.008","0.047"
"-0.047","0.008","0.047"
"-0.024","0.008","0.071"
"0.000","0.008","0.055"
"0.016","0.008","0.079"
"0.000","0.008","0.063"
"0.000","0.008","0.047"
"0.008","0.008","0.079"
"0.000","0.008","0.071"
"-0.016","0.008","0.071"
"-0.024","0.008","0.016"
"-0.079","0.008","-0.102"
"-0.087","0.008","-0.150"
"-0.024","0.008","-0.134"
"0.087","0.008","-0.047"
"-0.055","0.008","-0.197"
"-0.039","0.008","-0.158"
"0.032","0.008","-0.087"
"0.039","0.008","-0.079"
"0.024","0.008","-0.087"
"0.039","0.008","-0.055"
"0.000","0.008","-0.039"
"0.016","0.008","-0.039"
"0.000","0.008","-0.047"
"-0.008","0.008","-0.024"
"0.024","0.008","-0.032"
"0.024","0.008","-0.047"
"0.024","0.008","-0.055"
"0.032","0.008","-0.055"
"0.039","0.008","-0.047"
"0.016","0.008","-0.063"
"0.055","0.008","0.032"
"0.087","0.008","0.142"
"0.063","0.008","0.166"
"0.008","0.008","0.134"
"-0.024","0.008","0.126"
"-0.063","0.008","0.087"
"-0.071","0.008","0.063"
"-0.063","0.008","0.055"
"-0.063","0.008","0.063"
"-0.063","0.008","0.063"
"-0.063","0.008","0.039"
"-0.047","0.008","0.024"
"-0.032","0.008","0.039"
"-0.016","0.008","0.047"
"-0.024","0.008","0.055"
"-0.016","0.008","0.055"
"0.000","0.008","0.079"
"-0.008","0.008","0.095"
"-0.008","0.008","0.079"
"0.000","0.008","0.071"
"-0.047","0.008","0.000"
"-0.079","0.008","-0.110"
"-0.071","0.008","-0.158"
"-0.032","0.008","-0.142"
"0.102","0.008","-0.016"
"-0.063","0.008","-0.181"
"-0.024","0.008","-0.134"
"0.016","0.008","-0.087"
"0.016","0.008","-0.063"
"0.008","0.008","-0.063"
"0.016","0.008","-0.039"
"0.024","0.008","-0.032"
"0.016","0.008","-0.047"
"0.000","0.008","-0.039"
"0.000","0.008","-0.032"
"0.016","0.008","-0.055"
"-0.008","0.008","-0.047"
"-0.016","0.008","-0.047"
"-0.008","0.008","-0.055"
"-0.016","0.008","-0.063"
"-0.008","0.008","-0.055"
"0.055","0.008","0.063"
"0.071","0.008","0.142"
"0.047","0.008","0.166"
"0.000","0.008","0.166"
"-0.047","0.008","0.134"
"-0.055","0.008","0.087"
"-0.063","0.008","0.079"
"-0.079","0.008","0.063"
"-0.055","0.008","0.055"
"-0.063","0.008","0.055"
"-0.079","0.008","0.039"
"-0.047","0.008","0.047"
"-0.032","0.008","0.055"
"-0.024","0.008","0.039"
"0.000","0.008","0.055"
"-0.008","0.008","0.047"
"-0.008","0.008","0.063"
"0.000","0.008","0.071"
"-0.016","0.008","0.079"
"0.008","0.008","0.071"
"-0.039","0.008","0.024"
"-0.102","0.008","-0.102"
"-0.095","0.008","-0.150"
"-0.024","0.008","-0.134"
"0.087","0.008","-0.032"
"-0.039","0.008","-0.173"
"0.000","0.008","-0.126"
"0.024","0.008","-0.079"
"0.000","0.008","-0.087"
"0.000","0.008","-0.079"
"0.008","0.008","-0.055"
"0.024","0.008","-0.039"
"0.024","0.008","-0.032"
"0.008","0.008","-0.032"
"0.016","0.008","-0.032"
"0.000","0.008","-0.024"
"-0.008","0.008","-0.032"
"0.000","0.008","-0.047"
"0.000","0.008","-0.055"
"0.000","0.008","-0.063"
"0.016","0.008","-0.039"
"0.071","0.008","0.071"
"0.087","0.008","0.158"
"0.039","0.008","0.181"
"0.000","0.008","0.173"
"-0.039","0.008","0.134"
"-0.071","0.008","0.087"
"-0.063","0.008","0.071"
"-0.063","0.008","0.071"
"-0.055","0.008","0.071"
"-0.063","0.008","0.055"
"-0.047","0.008","0.047"
"-0.055","0.008","0.039"
"-0.039","0.008","0.039"
"-0.016","0.008","0.071"
"-0.024","0.008","0.087"
"-0.008","0.008","0.063"
"-0.008","0.008","0.079"
"0.000","0.008","0.063"
"0.000","0.008","0.079"
"0.000","0.008","0.071"
"-0.039","0.008","0.024"
"-0.071","0.008","-0.102"
"-0.071","0.008","-0.142"
"-0.024","0.008","-0.126"
"0.079","0.008","-0.032"
"-0.016","0.008","-0.150"
"0.000","0.008","-0.110"
"0.016","0.008","-0.087"
"0.016","0.008","-0.079"
"0.016","0.008","-0.087"
"0.039","0.008","-0.063"
"0.032","0.008","-0.047"
"0.047","0.008","-0.039"
"0.008","0.008","-0.039"
"0.000","0.008","-0.047"
"0.000","0.008","-0.032"
"0.000","0.008","-0.055"
"0.016","0.008","-0.039"
"0.000","0.008","-0.055"
"0.000","0.008","-0.063"
"0.008","0.008","-0.032"
"0.071","0.008","0.102"
"0.071","0.008","0.189"
"0.039","0.008","0.166"
"0.000","0.008","0.150"
"-0.047","0.008","0.118"
"-0.087","0.008","0.087"
"-0.079","0.008","0.071"
"-0.071","0.008","0.055"
"-0.055","0.008","0.039"
"-0.063","0.008","0.032"
"-0.071","0.008","0.039"
"-0.055","0.008","0.039"
"-0.032","0.008","0.063"
"-0.039","0.008","0.071"
"-0.008","0.008","0.079"
"-0.008","0.008","0.079"
"-0.024","0.008","0.079"
"-0.016","0.008","0.095"
"-0.024","0.008","0.071"
"-0.024","0.008","0.071"
"-0.063","0.008","-0.039"
"-0.095","0.008","-0.142"
"-0.079","0.008","-0.173"
"-0.039","0.008","-0.142"
"0.063","0.008","-0.047"
"-0.032","0.008","-0.142"
"0.016","0.008","-0.079"
"0.032","0.008","-0.063"
"0.000","0.008","-0.087"
"0.000","0.008","-0.087"
"0.008","0.008","-0.055"
"0.000","0.008","-0.024"
"0.024","0.008","0.000"
"0.016","0.008","-0.024"
"0.024","0.008","-0.032"
"0.000","0.008","-0.032"
"0.024","0.008","-0.047"
"0.000","0.008","-0.047"
"0.008","0.008","-0.063"
"0.000","0.008","-0.032"
"0.016","0.008","-0.008"
"0.071","0.008","0.095"
"0.095","0.008","0.173"
"0.047","0.008","0.181"
"0.000","0.008","0.166"
"-0.032","0.008","0.134"
"-0.071","0.008","0.095"
"-0.063","0.008","0.079"
"-0.071","0.008","0.071"
"-0.055","0.008","0.071"
"-0.063","0.008","0.039"
"-0.055","0.008","0.024"
"-0.039","0.008","0.024"
"-0.024","0.008","0.039"
"-0.024","0.008","0.047"
"-0.024","0.008","0.047"
"-0.039","0.008","0.063"
"-0.016","0.008","0.071"
"-0.008","0.008","0.071"
"0.000","0.008","0.071"
"0.008","0.008","0.079"
"-0.055","0.008","-0.016"
"-0.087","0.008","-0.134"
"-0.039","0.008","-0.150"
"0.000","0.008","-0.126"
"0.063","0.008","-0.102"
"0.000","0.008","-0.142"
"0.047","0.008","-0.087"
"0.047","0.008","-0.071"
"0.016","0.008","-0.095"
"0.008","0.008","-0.071"
"0.032","0.008","-0.047"
"0.032","0.008","-0.032"
"0.024","0.008","-0.039"
"0.016","0.008","-0.032"
"0.016","0.008","-0.047"
"0.024","0.008","-0.055"
"0.016","0.008","-0.071"
"0.000","0.008","-0.055"
"0.016","0.008","-0.039"
"0.000","0.008","-0.055"
"0.032","0.008","-0.016"
"0.071","0.008","0.110"
"0.087","0.008","0.189"
"0.039","0.008","0.166"
"-0.016","0.008","0.150"
"-0.055","0.008","0.118"
"-0.079","0.008","0.087"
"-0.087","0.008","0.087"
"-0.087","0.008","0.063"
"-0.071","0.008","0.055"
"-0.055","0.008","0.032"
"-0.055","0.008","0.032"
"-0.047","0.008","0.039"
"-0.032","0.008","0.039"
"-0.016","0.008","0.039"
"-0.032","0.008","0.063"
"-0.008","0.008","0.063"
"-0.008","0.008","0.063"
"0.000","0.008","0.055"
"-0.016","0.008","0.071"
"-0.024","0.008","0.063"
